{'folder': 1, 'file': 276, 'shape': (1024, 768, 3)}
{'folder': 1, 'file': 279, 'shape': (1024, 768, 3)}
{'folder': 1, 'file': 281, 'shape': (1024, 768, 3)}
{'folder': 1, 'file': 293, 'shape': (1024, 768, 3)}
{'folder': 1, 'file': 295, 'shape': (1024, 768, 3)}
{'folder': 1, 'file': 310, 'shape': (1024, 768, 3)}
{'folder': 1, 'file': 317, 'shape': (1024, 768, 3)}
{'folder': 1, 'file': 318, 'shape': (1024, 768, 3)}
{'folder': 1, 'file': 319, 'shape': (1024, 768, 3)}
{'folder': 1, 'file': 320, 'shape': (1024, 768, 3)}
{'folder': 1, 'file': 336, 'shape': (1024, 768, 3)}
{'folder': 1, 'file': 338, 'shape': (1024, 768, 3)}
{'folder': 1, 'file': 343, 'shape': (1024, 768, 3)}
{'folder': 1, 'file': 348, 'shape': (1024, 768, 3)}
{'folder': 1, 'file': 355, 'shape': (1024, 768, 3)}
{'folder': 1, 'file': 358, 'shape': (1024, 768, 3)}
{'folder': 1, 'file': 359, 'shape': (1024, 768, 3)}
{'folder': 1, 'file': 364, 'shape': (1024, 768, 3)}
{'folder': 1, 'file': 366, 'shape': (1024, 768, 3)}
{'folder': 1, 'file': 367, 'shape': (1024, 768, 3)}
{'folder': 1, 'file': 371, 'shape': (1024, 768, 3)}
{'folder': 1, 'file': 372, 'shape': (1024, 768, 3)}
{'folder': 1, 'file': 377, 'shape': (1024, 768, 3)}
{'folder': 1, 'file': 380, 'shape': (1024, 768, 3)}
{'folder': 1, 'file': 386, 'shape': (1024, 768, 3)}
{'folder': 3, 'file': 43, 'shape': (1024, 768, 3)}
{'folder': 3, 'file': 134, 'shape': (1024, 768, 3)}
{'folder': 3, 'file': 146, 'shape': (1024, 768, 3)}
{'folder': 3, 'file': 162, 'shape': (1024, 768, 3)}
{'folder': 3, 'file': 165, 'shape': (1024, 768, 3)}
{'folder': 3, 'file': 189, 'shape': (1024, 768, 3)}
{'folder': 3, 'file': 196, 'shape': (1024, 768, 3)}
{'folder': 3, 'file': 231, 'shape': (1024, 768, 3)}
{'folder': 3, 'file': 240, 'shape': (1024, 768, 3)}
{'folder': 3, 'file': 247, 'shape': (1024, 768, 3)}
{'folder': 3, 'file': 260, 'shape': (1024, 768, 3)}
{'folder': 3, 'file': 263, 'shape': (1024, 768, 3)}
{'folder': 3, 'file': 284, 'shape': (1024, 768, 3)}
{'folder': 3, 'file': 286, 'shape': (1024, 768, 3)}
{'folder': 3, 'file': 291, 'shape': (1024, 768, 3)}
{'folder': 3, 'file': 293, 'shape': (1024, 768, 3)}
{'folder': 3, 'file': 294, 'shape': (1024, 768, 3)}
{'folder': 3, 'file': 296, 'shape': (1024, 768, 3)}
{'folder': 3, 'file': 309, 'shape': (1024, 768, 3)}
{'folder': 3, 'file': 315, 'shape': (1024, 768, 3)}
{'folder': 4, 'file': 12, 'shape': (1024, 768, 3)}
{'folder': 4, 'file': 17, 'shape': (1024, 768, 3)}
{'folder': 4, 'file': 24, 'shape': (1024, 768, 3)}
{'folder': 5, 'file': 3, 'shape': (1024, 768, 3)}
{'folder': 5, 'file': 5, 'shape': (1024, 768, 3)}
{'folder': 5, 'file': 6, 'shape': (1024, 768, 3)}
{'folder': 5, 'file': 7, 'shape': (1024, 768, 3)}
{'folder': 5, 'file': 25, 'shape': (1024, 768, 3)}
{'folder': 5, 'file': 109, 'shape': (1024, 768, 3)}
{'folder': 5, 'file': 110, 'shape': (1024, 768, 3)}
{'folder': 5, 'file': 113, 'shape': (1024, 768, 3)}
{'folder': 5, 'file': 132, 'shape': (1024, 768, 3)}
{'folder': 5, 'file': 152, 'shape': (1024, 768, 3)}
{'folder': 5, 'file': 163, 'shape': (1024, 768, 3)}
{'folder': 5, 'file': 191, 'shape': (1024, 768, 3)}
{'folder': 5, 'file': 195, 'shape': (1024, 768, 3)}
{'folder': 5, 'file': 270, 'shape': (1024, 768, 3)}
{'folder': 5, 'file': 271, 'shape': (1024, 768, 3)}
{'folder': 5, 'file': 273, 'shape': (1024, 768, 3)}
{'folder': 5, 'file': 282, 'shape': (1024, 768, 3)}
{'folder': 5, 'file': 285, 'shape': (1024, 768, 3)}
{'folder': 5, 'file': 288, 'shape': (1024, 768, 3)}
{'folder': 5, 'file': 290, 'shape': (1024, 768, 3)}
{'folder': 5, 'file': 291, 'shape': (1024, 768, 3)}
{'folder': 5, 'file': 315, 'shape': (1024, 768, 3)}
{'folder': 5, 'file': 322, 'shape': (1024, 768, 3)}
{'folder': 5, 'file': 324, 'shape': (1024, 768, 3)}
{'folder': 5, 'file': 331, 'shape': (1024, 768, 3)}
{'folder': 5, 'file': 359, 'shape': (1024, 768, 3)}
{'folder': 5, 'file': 365, 'shape': (1024, 768, 3)}
{'folder': 5, 'file': 374, 'shape': (1024, 768, 3)}
{'folder': 5, 'file': 375, 'shape': (1024, 768, 3)}
